,0,1
1555,1,4
1556,1,1
1557,1,2
1558,0,5
1559,0,0
1560,1,8
1561,1,5
1562,0,2
1563,0,4
1564,1,2
1565,0,5
1566,0,2
1567,0,2
1568,1,2
1569,0,7
1570,1,2
1571,1,8
1572,0,2
1573,0,2
1574,0,3
1575,1,0
1576,0,6
1577,1,4
1578,1,8
1579,1,1
1580,0,2
1581,1,4
1582,1,8
1583,0,0
1584,0,2
1585,1,1
1586,0,2
1587,0,2
1588,0,2
1589,0,7
1590,0,5
1591,1,1
1592,0,0
1593,1,2
1594,1,7
1595,0,2
1596,0,9
1597,0,4
1598,0,2
1599,1,6
1600,1,2
1601,1,8
1602,0,2
1603,0,4
1604,1,2
1605,1,6
1606,0,9
1607,1,8
1608,0,2
1609,0,5
1610,0,2
1611,0,2
1612,1,8
1613,0,5
1614,0,9
1615,0,2
1616,0,2
1617,0,8
1618,0,2
1619,1,8
1620,0,2
1621,1,2
1622,1,2
1623,1,1
1624,1,1
1625,1,2
1626,0,2
1627,1,2
1628,0,4
1629,0,9
1630,0,2
1631,1,2
1632,1,9
1633,0,5
1634,1,2
1635,1,2
1636,0,2
1637,0,0
1638,0,2
1639,0,2
1640,1,8
1641,0,9
1642,1,1
1643,0,6
1644,0,2
1645,1,1
1646,0,2
1647,1,8
1648,1,2
1649,0,4
1650,0,8
1651,1,2
1652,0,2
1653,1,6
1654,1,1
1655,0,0
1656,1,2
1657,0,2
1658,0,4
1659,1,2
1660,1,5
1661,0,2
1662,1,4
1663,0,2
1664,0,2
1665,1,4
1666,0,2
1667,0,2
1668,1,3
1669,1,2
1670,1,2
1671,1,2
1672,0,2
1673,1,3
1674,0,9
1675,1,0
1676,1,7
1677,0,3
1678,0,2
1679,0,2
1680,1,2
1681,0,2
1682,1,2
1683,1,3
1684,0,0
1685,0,4
1686,1,7
1687,0,9
1688,1,2
1689,1,2
1690,0,0
1691,0,6
1692,1,7
1693,1,1
1694,0,6
1695,1,4
1696,1,6
1697,1,1
1698,0,2
1699,1,2
1700,1,2
1701,0,2
